item_id,transaction_id,product_id,quantity,unit_price,subtotal
1,1,21,1,10.5,10.5
2,1,13,3,17.0,51.0
3,1,16,4,48.0,192.0
4,1,53,2,42.0,84.0
5,2,36,1,22.0,22.0
6,2,41,3,155.0,465.0
7,2,43,1,34.0,34.0
8,3,12,4,17.0,68.0
9,3,51,2,52.0,104.0
10,3,53,3,42.0,126.0
11,3,13,3,17.0,51.0
12,3,33,1,8.5,8.5
13,4,36,3,22.0,66.0
14,4,50,4,115.0,460.0
15,5,15,1,120.0,120.0
16,5,13,2,17.0,34.0
17,5,5,4,95.0,380.0
18,6,7,2,42.0,84.0
19,6,54,3,26.0,78.0
20,7,7,4,42.0,168.0
21,7,37,1,12.0,12.0
22,8,18,1,12.0,12.0
23,8,29,3,14.0,42.0
24,9,54,4,26.0,104.0
25,9,50,2,115.0,230.0
26,10,37,2,12.0,24.0
27,10,31,4,52.0,208.0
28,10,26,1,35.0,35.0
29,11,4,1,35.0,35.0
30,11,32,3,56.0,168.0
31,12,8,4,52.0,208.0
32,12,17,1,35.0,35.0
33,12,33,4,8.5,34.0
34,12,58,1,22.0,22.0
35,12,37,2,12.0,24.0
36,13,34,4,19.0,76.0
37,13,6,3,22.0,66.0
38,13,2,4,16.5,66.0
39,13,54,1,26.0,26.0
40,14,51,2,52.0,104.0
41,14,31,1,52.0,52.0
42,15,16,4,48.0,192.0
43,15,6,1,22.0,22.0
44,16,31,2,52.0,104.0
45,16,7,3,42.0,126.0
46,16,57,2,9.5,19.0
47,16,55,1,65.0,65.0
48,16,9,2,5.5,11.0
49,17,10,2,3.5,7.0
50,17,2,4,16.5,66.0
51,17,4,4,35.0,140.0
52,18,33,1,8.5,8.5
53,18,18,4,12.0,48.0
54,18,39,4,26.0,104.0
55,18,54,3,26.0,78.0
56,18,57,3,9.5,28.5
57,19,30,4,26.0,104.0
58,19,56,1,17.0,17.0
59,19,13,1,17.0,17.0
60,19,2,1,16.5,16.5
61,20,1,1,17.5,17.5
62,20,6,2,22.0,44.0
63,20,43,1,34.0,34.0
64,21,11,4,19.5,78.0
65,21,7,4,42.0,168.0
66,21,43,4,34.0,136.0
67,21,25,2,25.0,50.0
68,21,19,4,13.5,54.0
69,22,19,3,13.5,40.5
70,22,56,3,17.0,51.0
71,22,58,2,22.0,44.0
72,22,6,3,22.0,66.0
73,23,49,4,28.0,112.0
74,23,47,4,85.0,340.0
75,23,44,3,42.0,126.0
76,23,31,4,52.0,208.0
77,24,60,1,110.0,110.0
78,24,6,2,22.0,44.0
79,24,18,2,12.0,24.0
80,24,44,3,42.0,126.0
81,25,14,1,9.5,9.5
82,25,59,1,145.0,145.0
83,26,41,2,155.0,310.0
84,26,45,3,26.0,78.0
85,27,42,4,130.0,520.0
86,27,22,1,19.0,19.0
87,27,4,3,35.0,105.0
88,28,24,1,19.0,19.0
89,28,30,1,26.0,26.0
90,29,48,1,72.0,72.0
91,29,54,4,26.0,104.0
92,29,10,1,3.5,3.5
93,29,32,1,56.0,56.0
94,29,26,1,35.0,35.0
95,30,50,3,115.0,345.0
96,30,9,3,5.5,16.5
97,30,3,2,14.0,28.0
98,30,59,1,145.0,145.0
99,30,51,1,52.0,52.0
100,31,36,4,22.0,88.0
101,31,47,1,85.0,85.0
102,32,48,3,72.0,216.0
103,32,31,3,52.0,156.0
104,32,14,4,9.5,38.0
105,33,13,4,17.0,68.0
106,33,32,4,56.0,224.0
107,33,37,2,12.0,24.0
108,34,45,3,26.0,78.0
109,34,7,3,42.0,126.0
110,34,14,3,9.5,28.5
111,34,51,4,52.0,208.0
112,34,40,2,28.0,56.0
113,35,51,3,52.0,156.0
114,35,42,2,130.0,260.0
115,35,14,2,9.5,19.0
116,35,17,3,35.0,105.0
117,36,54,4,26.0,104.0
118,36,17,3,35.0,105.0
119,36,34,3,19.0,57.0
120,37,16,1,48.0,48.0
121,37,45,3,26.0,78.0
122,37,7,3,42.0,126.0
123,37,31,2,52.0,104.0
124,37,38,1,75.0,75.0
125,38,38,4,75.0,300.0
126,38,27,4,45.0,180.0
127,38,28,1,14.0,14.0
128,38,34,4,19.0,76.0
129,39,31,2,52.0,104.0
130,39,32,4,56.0,224.0
131,39,59,4,145.0,580.0
132,39,25,4,25.0,100.0
133,40,2,4,16.5,66.0
134,40,39,4,26.0,104.0
135,40,20,1,42.0,42.0
136,40,19,1,13.5,13.5
137,41,22,1,19.0,19.0
138,41,59,3,145.0,435.0
139,41,24,3,19.0,57.0
140,41,43,2,34.0,68.0
141,41,18,1,12.0,12.0
142,42,45,4,26.0,104.0
143,42,59,3,145.0,435.0
144,42,10,3,3.5,10.5
145,42,11,3,19.5,58.5
146,42,4,1,35.0,35.0
147,43,50,3,115.0,345.0
148,43,51,4,52.0,208.0
149,43,9,1,5.5,5.5
150,43,12,4,17.0,68.0
151,44,33,4,8.5,34.0
152,44,41,2,155.0,310.0
153,45,47,1,85.0,85.0
154,45,41,4,155.0,620.0
155,45,38,1,75.0,75.0
156,46,59,3,145.0,435.0
157,46,2,4,16.5,66.0
158,46,6,4,22.0,88.0
159,46,4,3,35.0,105.0
160,46,47,4,85.0,340.0
161,47,56,3,17.0,51.0
162,47,13,2,17.0,34.0
163,48,43,2,34.0,68.0
164,48,51,2,52.0,104.0
165,49,18,1,12.0,12.0
166,49,23,1,20.0,20.0
167,49,20,2,42.0,84.0
168,50,41,4,155.0,620.0
169,50,29,2,14.0,28.0
170,50,46,1,22.0,22.0
171,50,43,4,34.0,136.0
172,51,47,1,85.0,85.0
173,51,25,3,25.0,75.0
174,51,27,2,45.0,90.0
175,51,38,1,75.0,75.0
176,51,30,4,26.0,104.0
177,52,19,3,13.5,40.5
178,52,52,3,100.0,300.0
179,52,51,3,52.0,156.0
180,53,24,1,19.0,19.0
181,53,48,1,72.0,72.0
182,53,21,1,10.5,10.5
183,53,15,2,120.0,240.0
184,53,58,1,22.0,22.0
185,54,56,4,17.0,68.0
186,54,6,2,22.0,44.0
187,54,14,4,9.5,38.0
188,54,47,2,85.0,170.0
189,54,48,3,72.0,216.0
190,55,16,3,48.0,144.0
191,55,60,4,110.0,440.0
192,55,49,4,28.0,112.0
193,55,8,2,52.0,104.0
194,56,31,1,52.0,52.0
195,56,27,1,45.0,45.0
196,56,10,2,3.5,7.0
197,56,12,1,17.0,17.0
198,56,2,3,16.5,49.5
199,57,17,3,35.0,105.0
200,57,36,4,22.0,88.0
201,57,30,1,26.0,26.0
202,57,33,4,8.5,34.0
203,57,6,1,22.0,22.0
204,58,60,2,110.0,220.0
205,58,24,1,19.0,19.0
206,58,30,2,26.0,52.0
207,59,49,3,28.0,84.0
208,59,19,3,13.5,40.5
209,59,60,1,110.0,110.0
210,59,8,2,52.0,104.0
211,60,18,3,12.0,36.0
212,60,29,3,14.0,42.0
213,60,15,2,120.0,240.0
214,60,27,1,45.0,45.0
215,61,55,1,65.0,65.0
216,61,44,1,42.0,42.0
217,61,12,4,17.0,68.0
218,61,46,4,22.0,88.0
219,61,52,2,100.0,200.0
220,62,9,1,5.5,5.5
221,62,8,3,52.0,156.0
222,62,59,3,145.0,435.0
223,62,20,2,42.0,84.0
224,62,52,4,100.0,400.0
225,63,35,4,52.0,208.0
226,63,18,1,12.0,12.0
227,63,44,2,42.0,84.0
228,64,8,1,52.0,52.0
229,64,33,2,8.5,17.0
230,65,27,2,45.0,90.0
231,65,8,2,52.0,104.0
232,65,29,2,14.0,28.0
233,65,18,4,12.0,48.0
234,66,46,2,22.0,44.0
235,66,22,4,19.0,76.0
236,67,25,2,25.0,50.0
237,67,46,1,22.0,22.0
238,67,26,2,35.0,70.0
239,67,2,4,16.5,66.0
240,67,13,4,17.0,68.0
241,68,7,2,42.0,84.0
242,68,36,3,22.0,66.0
243,69,11,2,19.5,39.0
244,69,20,1,42.0,42.0
245,69,29,1,14.0,14.0
246,70,1,3,17.5,52.5
247,70,27,4,45.0,180.0
248,71,10,4,3.5,14.0
249,71,59,1,145.0,145.0
250,71,34,4,19.0,76.0
251,71,15,4,120.0,480.0
252,72,26,1,35.0,35.0
253,72,17,1,35.0,35.0
254,72,24,2,19.0,38.0
255,72,55,3,65.0,195.0
256,72,46,1,22.0,22.0
257,73,20,3,42.0,126.0
258,73,53,1,42.0,42.0
259,74,49,1,28.0,28.0
260,74,28,1,14.0,14.0
261,74,14,3,9.5,28.5
262,74,54,4,26.0,104.0
263,74,21,3,10.5,31.5
264,75,20,3,42.0,126.0
265,75,2,3,16.5,49.5
266,75,45,1,26.0,26.0
267,75,42,2,130.0,260.0
268,76,32,4,56.0,224.0
269,76,33,1,8.5,8.5
270,77,56,1,17.0,17.0
271,77,25,4,25.0,100.0
272,77,60,3,110.0,330.0
273,77,50,2,115.0,230.0
274,78,38,4,75.0,300.0
275,78,15,4,120.0,480.0
276,78,1,1,17.5,17.5
277,79,43,3,34.0,102.0
278,79,26,1,35.0,35.0
279,79,24,1,19.0,19.0
280,79,40,1,28.0,28.0
281,79,49,2,28.0,56.0
282,80,33,2,8.5,17.0
283,80,56,4,17.0,68.0
284,80,19,3,13.5,40.5
285,80,59,4,145.0,580.0
286,80,1,3,17.5,52.5
287,81,49,4,28.0,112.0
288,81,54,4,26.0,104.0
289,81,34,4,19.0,76.0
290,81,38,2,75.0,150.0
291,81,2,1,16.5,16.5
292,82,7,4,42.0,168.0
293,82,6,3,22.0,66.0
294,83,22,4,19.0,76.0
295,83,18,2,12.0,24.0
296,83,15,3,120.0,360.0
297,84,50,3,115.0,345.0
298,84,36,1,22.0,22.0
299,84,24,2,19.0,38.0
