transaction_id,branch_id,cashier_id,total_amount,discount_amount,final_amount,payment_method,status,transaction_at
1,1,4,144.04,0.0,144.04,CASH,COMPLETED,2026-02-06 10:16:00
2,1,4,332.56,33.26,299.3,CASH,COMPLETED,2026-02-06 12:26:00
3,1,3,481.79,0.0,481.79,CARD,COMPLETED,2026-02-06 12:09:00
4,1,4,406.52,40.65,365.87,CASH,REFUNDED,2026-02-06 17:43:00
5,1,3,297.35,14.87,282.48,CASH,COMPLETED,2026-02-06 15:13:00
6,1,4,594.05,59.41,534.64,CASH,COMPLETED,2026-02-06 12:38:00
7,1,4,586.73,0.0,586.73,CASH,REFUNDED,2026-02-06 20:10:00
8,1,4,369.39,0.0,369.39,WALLET,COMPLETED,2026-02-06 09:07:00
9,1,3,127.58,6.38,121.2,CASH,COMPLETED,2026-02-06 10:09:00
10,1,4,381.91,19.1,362.81,CASH,COMPLETED,2026-02-06 12:57:00
11,1,3,395.05,19.75,375.3,CASH,COMPLETED,2026-02-06 21:08:00
12,1,4,566.57,28.33,538.24,WALLET,COMPLETED,2026-02-06 20:38:00
13,1,3,376.58,18.83,357.75,CASH,COMPLETED,2026-02-06 13:11:00
14,1,3,263.63,0.0,263.63,CARD,COMPLETED,2026-02-06 16:51:00
15,1,3,512.29,0.0,512.29,CARD,COMPLETED,2026-02-06 19:04:00
16,1,4,36.35,0.0,36.35,CASH,COMPLETED,2026-02-06 14:52:00
17,1,4,249.99,0.0,249.99,CASH,COMPLETED,2026-02-06 09:59:00
18,1,4,441.35,22.07,419.28,CARD,COMPLETED,2026-02-06 19:14:00
19,1,4,90.28,0.0,90.28,CASH,COMPLETED,2026-02-06 19:45:00
20,1,3,248.63,12.43,236.2,CARD,COMPLETED,2026-02-06 16:26:00
21,1,4,69.72,0.0,69.72,WALLET,COMPLETED,2026-02-06 21:30:00
22,1,3,560.0,0.0,560.0,CASH,COMPLETED,2026-02-06 19:52:00
23,1,3,190.91,19.09,171.82,CARD,COMPLETED,2026-02-06 20:28:00
24,1,3,246.5,0.0,246.5,CASH,COMPLETED,2026-02-06 20:18:00
25,1,3,538.06,0.0,538.06,CARD,COMPLETED,2026-02-06 15:47:00
