count_id,branch_id,product_id,count_date,expected_qty,counted_qty,discrepancy,counted_by,notes
1,1,1,2026-04-07,45,45,0,2,OK
2,1,2,2026-04-07,31,31,0,2,OK
3,1,3,2026-04-07,92,92,0,2,OK
4,1,4,2026-04-07,89,89,0,2,OK
5,1,5,2026-04-07,16,17,1,2,1 unit(s) surplus
6,2,1,2026-04-07,75,75,0,5,OK
7,2,2,2026-04-07,44,44,0,5,OK
8,2,3,2026-04-07,106,106,0,5,OK
9,2,4,2026-04-07,85,85,0,5,OK
10,2,5,2026-04-07,96,94,-2,5,2 unit(s) missing
11,3,1,2026-04-07,44,44,0,8,OK
12,3,2,2026-04-07,81,81,0,8,OK
13,3,3,2026-04-07,16,16,0,8,OK
14,3,4,2026-04-07,23,23,0,8,OK
15,3,5,2026-04-07,90,90,0,8,OK
16,1,6,2026-04-08,114,114,0,2,OK
17,1,7,2026-04-08,49,49,0,2,OK
18,1,8,2026-04-08,107,108,1,2,1 unit(s) surplus
19,1,9,2026-04-08,64,63,-1,2,1 unit(s) missing
20,1,10,2026-04-08,69,69,0,2,OK
21,2,6,2026-04-08,117,117,0,5,OK
22,2,7,2026-04-08,32,30,-2,5,2 unit(s) missing
23,2,8,2026-04-08,27,27,0,5,OK
24,2,9,2026-04-08,78,78,0,5,OK
25,2,10,2026-04-08,101,101,0,5,OK
26,3,6,2026-04-08,95,93,-2,8,2 unit(s) missing
27,3,7,2026-04-08,68,68,0,8,OK
28,3,8,2026-04-08,64,64,0,8,OK
29,3,9,2026-04-08,83,83,0,8,OK
30,3,10,2026-04-08,89,89,0,8,OK
31,1,11,2026-04-09,58,58,0,2,OK
32,1,12,2026-04-09,18,16,-2,2,2 unit(s) missing
33,1,13,2026-04-09,92,92,0,2,OK
34,1,14,2026-04-09,35,35,0,2,OK
35,1,15,2026-04-09,56,57,1,2,1 unit(s) surplus
36,2,11,2026-04-09,88,88,0,5,OK
37,2,12,2026-04-09,106,106,0,5,OK
38,2,13,2026-04-09,96,94,-2,5,2 unit(s) missing
39,2,14,2026-04-09,88,88,0,5,OK
40,2,15,2026-04-09,30,30,0,5,OK
41,3,11,2026-04-09,96,97,1,8,1 unit(s) surplus
42,3,12,2026-04-09,26,26,0,8,OK
43,3,13,2026-04-09,23,23,0,8,OK
44,3,14,2026-04-09,34,34,0,8,OK
45,3,15,2026-04-09,69,68,-1,8,1 unit(s) missing
46,1,16,2026-04-10,30,30,0,2,OK
47,1,17,2026-04-10,93,92,-1,2,1 unit(s) missing
48,1,18,2026-04-10,63,62,-1,2,1 unit(s) missing
49,1,19,2026-04-10,57,57,0,2,OK
50,1,20,2026-04-10,50,50,0,2,OK
51,2,16,2026-04-10,19,19,0,5,OK
52,2,17,2026-04-10,24,24,0,5,OK
53,2,18,2026-04-10,83,83,0,5,OK
54,2,19,2026-04-10,40,41,1,5,1 unit(s) surplus
55,2,20,2026-04-10,52,52,0,5,OK
56,3,16,2026-04-10,34,34,0,8,OK
57,3,17,2026-04-10,58,58,0,8,OK
58,3,18,2026-04-10,32,30,-2,8,2 unit(s) missing
59,3,19,2026-04-10,63,63,0,8,OK
60,3,20,2026-04-10,81,81,0,8,OK
61,1,21,2026-04-11,91,91,0,2,OK
62,1,22,2026-04-11,28,28,0,2,OK
63,1,23,2026-04-11,118,118,0,2,OK
64,1,24,2026-04-11,70,70,0,2,OK
65,1,25,2026-04-11,106,106,0,2,OK
66,2,21,2026-04-11,53,53,0,5,OK
67,2,22,2026-04-11,48,48,0,5,OK
68,2,23,2026-04-11,85,85,0,5,OK
69,2,24,2026-04-11,115,115,0,5,OK
70,2,25,2026-04-11,89,89,0,5,OK
71,3,21,2026-04-11,63,63,0,8,OK
72,3,22,2026-04-11,95,95,0,8,OK
73,3,23,2026-04-11,96,96,0,8,OK
74,3,24,2026-04-11,74,74,0,8,OK
75,3,25,2026-04-11,60,60,0,8,OK
76,1,26,2026-04-12,50,49,-1,2,1 unit(s) missing
77,1,27,2026-04-12,17,17,0,2,OK
78,1,28,2026-04-12,101,101,0,2,OK
79,1,29,2026-04-12,62,62,0,2,OK
