summary_id,branch_id,summary_date,total_revenue,total_cost,total_profit,transaction_count
1,1,2026-02-06,7523.76,3912.36,3611.4,24
2,2,2026-02-06,11998.57,6239.26,5759.31,37
3,3,2026-02-06,5377.59,2796.35,2581.24,17
4,4,2026-02-06,5329.83,2771.51,2558.32,22
5,5,2026-02-06,4780.14,2485.67,2294.47,17
6,6,2026-02-06,5967.57,3103.14,2864.43,19
7,1,2026-02-07,5020.87,2610.85,2410.02,18
8,2,2026-02-07,9031.15,4696.2,4334.95,33
9,3,2026-02-07,11992.39,6236.04,5756.35,35
10,4,2026-02-07,8944.06,4650.91,4293.15,32
11,5,2026-02-07,12082.82,6283.07,5799.75,37
12,6,2026-02-07,9697.16,5042.52,4654.64,31
13,1,2026-02-08,5422.94,2819.93,2603.01,17
14,2,2026-02-08,8844.8,4599.3,4245.5,29
15,3,2026-02-08,11116.83,5780.75,5336.08,40
16,4,2026-02-08,6422.09,3339.49,3082.6,22
17,5,2026-02-08,7991.38,4155.52,3835.86,27
18,6,2026-02-08,10613.03,5518.78,5094.25,38
19,1,2026-02-09,12357.27,6425.78,5931.49,38
20,2,2026-02-09,5921.86,3079.37,2842.49,21
21,3,2026-02-09,10154.54,5280.36,4874.18,33
22,4,2026-02-09,8502.96,4421.54,4081.42,25
23,5,2026-02-09,6553.16,3407.64,3145.52,25
24,6,2026-02-09,13043.57,6782.66,6260.91,41
25,1,2026-02-10,10247.29,5328.59,4918.7,31
26,2,2026-02-10,8460.5,4399.46,4061.04,27
27,3,2026-02-10,7283.88,3787.62,3496.26,23
28,4,2026-02-10,12594.06,6548.91,6045.15,38
29,5,2026-02-10,4096.45,2130.15,1966.3,13
30,6,2026-02-10,12451.01,6474.53,5976.48,36
31,1,2026-02-11,11114.54,5779.56,5334.98,36
32,2,2026-02-11,8990.97,4675.3,4315.67,25
33,3,2026-02-11,12430.66,6463.94,5966.72,39
34,4,2026-02-11,12558.18,6530.25,6027.93,38
35,5,2026-02-11,6343.82,3298.79,3045.03,23
36,6,2026-02-11,7275.68,3783.35,3492.33,25
37,1,2026-02-12,6958.52,3618.43,3340.09,21
38,2,2026-02-12,10490.99,5455.31,5035.68,36
39,3,2026-02-12,3645.19,1895.5,1749.69,11
40,4,2026-02-12,8711.75,4530.11,4181.64,31
41,5,2026-02-12,11065.65,5754.14,5311.51,39
42,6,2026-02-12,10147.02,5276.45,4870.57,31
43,1,2026-02-13,5087.52,2645.51,2442.01,17
44,2,2026-02-13,10449.06,5433.51,5015.55,34
45,3,2026-02-13,11035.14,5738.27,5296.87,32
46,4,2026-02-13,10693.68,5560.71,5132.97,34
47,5,2026-02-13,8912.91,4634.71,4278.2,32
48,6,2026-02-13,10049.67,5225.83,4823.84,30
49,1,2026-02-14,5200.09,2704.05,2496.04,14
50,2,2026-02-14,11110.25,5777.33,5332.92,32
51,3,2026-02-14,11280.87,5866.05,5414.82,39
52,4,2026-02-14,11767.46,6119.08,5648.38,38
53,5,2026-02-14,4939.96,2568.78,2371.18,18
54,6,2026-02-14,4628.05,2406.59,2221.46,15
55,1,2026-02-15,16434.61,8546.0,7888.61,44
56,2,2026-02-15,9919.5,5158.14,4761.36,30
57,3,2026-02-15,9792.49,5092.09,4700.4,34
58,4,2026-02-15,10867.36,5651.03,5216.33,32
59,5,2026-02-15,10319.07,5365.92,4953.15,30
60,6,2026-02-15,7971.53,4145.2,3826.33,25
61,1,2026-02-16,7283.75,3787.55,3496.2,29
62,2,2026-02-16,11031.96,5736.62,5295.34,37
63,3,2026-02-16,9396.25,4886.05,4510.2,33
64,4,2026-02-16,12881.83,6698.55,6183.28,38
65,5,2026-02-16,6417.3,3337.0,3080.3,20
66,6,2026-02-16,3853.21,2003.67,1849.54,12
67,1,2026-02-17,6187.2,3217.34,2969.86,19
68,2,2026-02-17,8599.6,4471.79,4127.81,27
69,3,2026-02-17,6311.08,3281.76,3029.32,20
70,4,2026-02-17,7813.34,4062.94,3750.4,21
71,5,2026-02-17,14801.6,7696.83,7104.77,44
72,6,2026-02-17,13323.64,6928.29,6395.35,41
73,1,2026-02-18,4246.81,2208.34,2038.47,13
74,2,2026-02-18,5523.13,2872.03,2651.1,15
75,3,2026-02-18,7677.09,3992.09,3685.0,23
76,4,2026-02-18,12120.49,6302.65,5817.84,38
77,5,2026-02-18,4411.71,2294.09,2117.62,17
78,6,2026-02-18,10269.62,5340.2,4929.42,32
79,1,2026-02-19,6196.56,3222.21,2974.35,17
80,2,2026-02-19,6738.12,3503.82,3234.3,27
81,3,2026-02-19,10755.14,5592.67,5162.47,36
82,4,2026-02-19,6954.38,3616.28,3338.1,20
83,5,2026-02-19,8264.13,4297.35,3966.78,27
84,6,2026-02-19,11162.75,5804.63,5358.12,42
85,1,2026-02-20,11949.75,6213.87,5735.88,37
86,2,2026-02-20,8897.02,4626.45,4270.57,28
87,3,2026-02-20,10893.68,5664.71,5228.97,31
88,4,2026-02-20,10339.28,5376.43,4962.85,35
89,5,2026-02-20,6833.44,3553.39,3280.05,26
90,6,2026-02-20,12227.09,6358.09,5869.0,37
91,1,2026-02-21,8989.56,4674.57,4314.99,29
92,2,2026-02-21,4541.75,2361.71,2180.04,17
93,3,2026-02-21,7845.4,4079.61,3765.79,24
94,4,2026-02-21,5185.4,2696.41,2488.99,17
95,5,2026-02-21,8273.56,4302.25,3971.31,30
96,6,2026-02-21,7428.51,3862.83,3565.68,23
97,1,2026-02-22,4416.93,2296.8,2120.13,12
98,2,2026-02-22,6205.97,3227.1,2978.87,21
99,3,2026-02-22,11072.71,5757.81,5314.9,40
100,4,2026-02-22,7723.71,4016.33,3707.38,30
101,5,2026-02-22,6542.46,3402.08,3140.38,26
102,6,2026-02-22,8097.25,4210.57,3886.68,29
103,1,2026-02-23,5720.59,2974.71,2745.88,23
104,2,2026-02-23,13058.23,6790.28,6267.95,37
105,3,2026-02-23,5480.6,2849.91,2630.69,20
106,4,2026-02-23,11460.37,5959.39,5500.98,34
