category_id,name,description
1,Dairy & Eggs,"Milk, cheese, yogurt, butter, eggs"
2,Beverages,"Water, juice, soft drinks, energy drinks, tea, coffee"
3,Snacks,"Chips, biscuits, chocolate, candy, nuts"
4,Grains & Staples,"Rice, flour, pasta, sugar, salt, oil"
5,Canned & Packaged,"Canned tomatoes, beans, tuna, sauces, condiments"
6,Cleaning & Household,"Detergents, dish soap, fabric softener, trash bags"
7,Personal Care,"Shampoo, soap, toothpaste, deodorant, razors"
8,Frozen Foods,"Frozen vegetables, frozen meals, ice cream"
9,Bread & Bakery,"White bread, toast, buns, pita, croissants"
10,Meat & Poultry,"Chicken, beef, frozen cuts, sausages"
