pricing_id,product_id,branch_id,wholesale_price,quantity,suggested_price,applied_price,ai_reasoning,suggested_at,suggested_by
1,1,2,9.0,58,16.44,17.5,Seasonal demand increase observed in data. Suggest 100% margin this period.,2026-01-10 09:53:00,5
2,1,2,9.0,97,16.42,17.5,Competitor pricing at Carrefour Egypt is slightly higher. Recommend matching.,2026-02-09 09:22:00,5
3,1,6,9.0,140,18.67,17.5,Strong brand loyalty (Juhayna/Ariel/Nescafe). Market supports full 95-100% margin.,2026-03-11 09:24:00,17
4,1,3,9.0,129,17.56,17.5,Market average in Cairo for this category is aligned. Suggested margin ~95%.,2026-04-10 09:40:00,8
5,2,2,8.5,151,15.96,16.5,Market average in Cairo for this category is aligned. Suggested margin ~95%.,2026-01-10 09:36:00,5
6,2,2,8.5,33,16.48,16.5,Strong brand loyalty (Juhayna/Ariel/Nescafe). Market supports full 95-100% margin.,2026-02-09 09:14:00,5
7,2,6,8.5,129,15.53,16.5,Low turnover item. Reduce margin to 85% to stimulate sales.,2026-03-11 09:14:00,17
8,2,4,8.5,63,17.25,16.5,Seasonal demand increase observed in data. Suggest 100% margin this period.,2026-04-10 09:21:00,11
9,3,1,7.5,125,15.37,14.0,Seasonal demand increase observed in data. Suggest 100% margin this period.,2026-01-10 09:20:00,2
10,3,2,7.5,81,14.32,14.0,"Imported product, high acquisition cost. Minimum 90% margin to cover logistics.",2026-02-09 09:11:00,5
11,3,2,7.5,99,15.4,14.0,High demand product (fast mover). Slight premium of 5% above standard margin recommended.,2026-03-11 09:28:00,5
12,3,6,7.5,53,13.97,14.0,Strong brand loyalty (Juhayna/Ariel/Nescafe). Market supports full 95-100% margin.,2026-04-10 09:52:00,17
13,4,5,18.0,47,34.94,35.0,Strong brand loyalty (Juhayna/Ariel/Nescafe). Market supports full 95-100% margin.,2026-01-10 09:52:00,14
14,4,1,18.0,85,35.95,35.0,Market average in Cairo for this category is aligned. Suggested margin ~95%.,2026-02-09 09:52:00,2
15,4,3,18.0,96,36.18,35.0,Product near expiry in some branches. Recommend 70% margin to clear stock faster.,2026-03-11 09:17:00,8
16,4,5,18.0,126,33.08,35.0,"Imported product, high acquisition cost. Minimum 90% margin to cover logistics.",2026-04-10 09:31:00,14
