analytics_id,branch_id,product_id,month,total_sold,total_revenue,total_cost,profit,classification
1,1,1,2026-02-01,77,1347.5,693.0,654.5,NORMAL
2,1,2,2026-02-01,91,1501.5,773.5,728.0,NORMAL
3,1,3,2026-02-01,79,1106.0,592.5,513.5,NORMAL
4,1,4,2026-02-01,77,2695.0,1386.0,1309.0,NORMAL
5,1,5,2026-02-01,85,8075.0,4675.0,3400.0,NORMAL
6,1,6,2026-02-01,95,2090.0,1140.0,950.0,NORMAL
7,1,7,2026-02-01,44,1848.0,968.0,880.0,NORMAL
8,1,8,2026-02-01,43,2236.0,1204.0,1032.0,NORMAL
9,1,9,2026-02-01,382,2101.0,1069.6,1031.4,FAST_MOVER
10,1,10,2026-02-01,363,1270.5,653.4,617.1,FAST_MOVER
11,1,11,2026-02-01,100,1950.0,1000.0,950.0,NORMAL
12,1,12,2026-02-01,215,3655.0,1935.0,1720.0,FAST_MOVER
13,1,13,2026-02-01,168,2856.0,1512.0,1344.0,FAST_MOVER
14,1,14,2026-02-01,77,731.5,385.0,346.5,NORMAL
15,1,15,2026-02-01,58,6960.0,3770.0,3190.0,NORMAL
16,1,16,2026-02-01,38,1824.0,950.0,874.0,NORMAL
17,1,17,2026-02-01,31,1085.0,558.0,527.0,NORMAL
18,1,18,2026-02-01,88,1056.0,572.0,484.0,NORMAL
19,1,19,2026-02-01,141,1903.5,987.0,916.5,FAST_MOVER
20,1,20,2026-02-01,11,462.0,242.0,220.0,SLOW_MOVER
21,1,21,2026-02-01,322,3381.0,1771.0,1610.0,FAST_MOVER
22,1,22,2026-02-01,77,1463.0,770.0,693.0,NORMAL
23,1,23,2026-02-01,98,1960.0,1029.0,931.0,NORMAL
24,1,24,2026-02-01,40,760.0,400.0,360.0,NORMAL
25,1,25,2026-02-01,99,2475.0,1287.0,1188.0,NORMAL
26,1,26,2026-02-01,2,70.0,36.0,34.0,SLOW_MOVER
27,1,27,2026-02-01,390,17550.0,9360.0,8190.0,FAST_MOVER
28,1,28,2026-02-01,152,2128.0,1140.0,988.0,FAST_MOVER
29,1,29,2026-02-01,150,2100.0,1125.0,975.0,FAST_MOVER
30,1,30,2026-02-01,138,3588.0,1932.0,1656.0,FAST_MOVER
31,1,31,2026-02-01,217,11284.0,6076.0,5208.0,FAST_MOVER
32,1,32,2026-02-01,50,2800.0,1500.0,1300.0,NORMAL
