product_id,name,barcode,qr_code_path,category_id,unit,wholesale_price,retail_price,reorder_level,description,created_at
1,Juhayna Full Cream Milk 1L,6221033001001,qr/p001.png,1,Carton,9.0,17.5,40,UHT full cream milk 1L - Juhayna,2024-01-15 09:00:00
2,Juhayna Skimmed Milk 1L,6221033001002,qr/p002.png,1,Carton,8.5,16.5,30,UHT skimmed milk 1L - Juhayna,2024-01-15 09:05:00
3,Labanita Zabady 400g,6221034002001,qr/p003.png,1,Cup,7.5,14.0,25,Full fat natural yogurt 400g,2024-01-15 09:10:00
4,Kiri Cream Cheese 8 portions,6221035003001,qr/p004.png,1,Box,18.0,35.0,20,Soft cream cheese portions 8-pack,2024-01-15 09:15:00
5,Farm Frites Eggs 30-pack,6221036004001,qr/p005.png,1,Tray,55.0,95.0,15,Fresh white eggs 30-pack large,2024-01-15 09:20:00
6,Dina Farms Fresh Milk 1L,6221037005001,qr/p006.png,1,Bottle,12.0,22.0,35,Pasteurised fresh full cream milk,2024-01-15 09:25:00
7,Puck Cheddar Slices 200g,6221038006001,qr/p007.png,1,Pack,22.0,42.0,20,Processed cheddar cheese slices,2024-01-15 09:30:00
8,Anchor Butter 200g,6221039007001,qr/p008.png,1,Pack,28.0,52.0,15,Unsalted butter 200g - Anchor,2024-01-15 09:35:00
9,Baraka Water 1.5L,6221040008001,qr/p009.png,2,Bottle,2.8,5.5,100,Still mineral water 1.5L - Baraka,2024-01-16 09:00:00
10,Nestle Pure Life 600ml,6221041009001,qr/p010.png,2,Bottle,1.8,3.5,80,Still mineral water 600ml - Nestle,2024-01-16 09:05:00
11,Juhayna Orange Juice 1L,6221042010001,qr/p011.png,2,Carton,10.0,19.5,40,100% orange juice 1L no added sugar,2024-01-16 09:10:00
12,Pepsi Cola 1.5L,6221043011001,qr/p012.png,2,Bottle,9.0,17.0,50,Carbonated cola soft drink 1.5L,2024-01-16 09:15:00
13,7UP 1.5L,6221044012001,qr/p013.png,2,Bottle,9.0,17.0,50,Lemon-lime soft drink 1.5L,2024-01-16 09:20:00
14,Mirinda Orange 330ml,6221045013001,qr/p014.png,2,Can,5.0,9.5,60,Carbonated orange drink 330ml can,2024-01-16 09:25:00
15,Nescafe Classic 200g,6221046014001,qr/p015.png,2,Jar,65.0,120.0,20,Instant coffee 200g - Nescafe,2024-01-16 09:30:00
16,Lipton Yellow Label Tea 100 bags,6221047015001,qr/p016.png,2,Box,25.0,48.0,25,Black tea bags 100 count - Lipton,2024-01-16 09:35:00
17,Red Bull Energy Drink 250ml,6221048016001,qr/p017.png,2,Can,18.0,35.0,30,Energy drink 250ml can - Red Bull,2024-01-16 09:40:00
18,Cappy Apple Juice 330ml,6221049017001,qr/p018.png,2,Can,6.5,12.0,50,Apple juice drink 330ml - Cappy,2024-01-16 09:45:00
19,Lays Classic 80g,6221050018001,qr/p019.png,3,Bag,7.0,13.5,40,Salted potato chips 80g - Lays,2024-01-17 09:00:00
20,Pringles Original 165g,6221051019001,qr/p020.png,3,Can,22.0,42.0,25,Stackable chips 165g - Pringles,2024-01-17 09:05:00
