event_id,branch_id,event_type,payload,received_at,status
1,1,TRANSACTION_SYNC,"{""transaction_id"":1,""branch_id"":1,""final_amount"":144.04,""payment_method"":""CASH""}",2026-02-06 10:16:02,PROCESSED
2,1,TRANSACTION_SYNC,"{""transaction_id"":2,""branch_id"":1,""final_amount"":299.3,""payment_method"":""CASH""}",2026-02-06 12:26:01,PROCESSED
3,1,TRANSACTION_SYNC,"{""transaction_id"":3,""branch_id"":1,""final_amount"":481.79,""payment_method"":""CARD""}",2026-02-06 12:09:02,PROCESSED
4,1,TRANSACTION_SYNC,"{""transaction_id"":4,""branch_id"":1,""final_amount"":365.87,""payment_method"":""CASH""}",2026-02-06 17:43:05,PROCESSED
5,1,TRANSACTION_SYNC,"{""transaction_id"":5,""branch_id"":1,""final_amount"":282.48,""payment_method"":""CASH""}",2026-02-06 15:13:07,PROCESSED
6,1,TRANSACTION_SYNC,"{""transaction_id"":6,""branch_id"":1,""final_amount"":534.64,""payment_method"":""CASH""}",2026-02-06 12:38:06,PROCESSED
7,1,TRANSACTION_SYNC,"{""transaction_id"":7,""branch_id"":1,""final_amount"":586.73,""payment_method"":""CASH""}",2026-02-06 20:10:03,PROCESSED
8,1,TRANSACTION_SYNC,"{""transaction_id"":8,""branch_id"":1,""final_amount"":369.39,""payment_method"":""WALLET""}",2026-02-06 09:07:02,PROCESSED
9,1,TRANSACTION_SYNC,"{""transaction_id"":9,""branch_id"":1,""final_amount"":121.2,""payment_method"":""CASH""}",2026-02-06 10:09:05,PROCESSED
10,1,TRANSACTION_SYNC,"{""transaction_id"":10,""branch_id"":1,""final_amount"":362.81,""payment_method"":""CASH""}",2026-02-06 12:57:08,PROCESSED
11,1,TRANSACTION_SYNC,"{""transaction_id"":11,""branch_id"":1,""final_amount"":375.3,""payment_method"":""CASH""}",2026-02-06 21:08:03,PROCESSED
12,1,TRANSACTION_SYNC,"{""transaction_id"":12,""branch_id"":1,""final_amount"":538.24,""payment_method"":""WALLET""}",2026-02-06 20:38:01,PROCESSED
13,1,TRANSACTION_SYNC,"{""transaction_id"":13,""branch_id"":1,""final_amount"":357.75,""payment_method"":""CASH""}",2026-02-06 13:11:07,PROCESSED
14,1,TRANSACTION_SYNC,"{""transaction_id"":14,""branch_id"":1,""final_amount"":263.63,""payment_method"":""CARD""}",2026-02-06 16:51:06,PROCESSED
15,1,TRANSACTION_SYNC,"{""transaction_id"":15,""branch_id"":1,""final_amount"":512.29,""payment_method"":""CARD""}",2026-02-06 19:04:08,PROCESSED
16,1,TRANSACTION_SYNC,"{""transaction_id"":16,""branch_id"":1,""final_amount"":36.35,""payment_method"":""CASH""}",2026-02-06 14:52:04,PROCESSED
17,1,TRANSACTION_SYNC,"{""transaction_id"":17,""branch_id"":1,""final_amount"":249.99,""payment_method"":""CASH""}",2026-02-06 09:59:06,FAILED
18,1,TRANSACTION_SYNC,"{""transaction_id"":18,""branch_id"":1,""final_amount"":419.28,""payment_method"":""CARD""}",2026-02-06 19:14:01,PROCESSED
